nazwa;nazwa ogólna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSZ_020;Szuflada zewnętrzna;PC polysk;1284 ;;;523;229
KSZ_021;Szuflada zewnętrzna;PC polysk;1412 ;;;729;229
KSZ_022;Szuflada zewnętrzna;PC polysk;1154 ;;;229;329
KSZ_023;Szuflada zewnętrzna;PC polysk;1227 ;;;329;329
KSZ_024;Szuflada zewnętrzna;PC polysk;1261 ;;;374;329
KSZ_025;Szuflada zewnętrzna;PC polysk;1294 ;;;420;329
KSZ_026;Szuflada zewnętrzna;PC polysk;1339 ;;;479;329
KSZ_027;Szuflada zewnętrzna;PC polysk;1371 ;;;523;329
KSZ_028;Szuflada zewnętrzna;PC polysk;1525 ;;;729;329
KSZ_029;Szuflada zewnętrzna;PC polysk;1179 ;;;229;374
KSZ_030;Szuflada zewnętrzna;PC polysk;1259 ;;;329;374
KSZ_031;Szuflada zewnętrzna;PC polysk;1294 ;;;374;374
KSZ_032;Szuflada zewnętrzna;PC polysk;1330 ;;;420;374
KSZ_033;Szuflada zewnętrzna;PC polysk;1378 ;;;479;374
KSZ_034;Szuflada zewnętrzna;PC polysk;1414 ;;;523;374
KSZ_035;Szuflada zewnętrzna;PC polysk;1578 ;;;729;374
KSZ_036;Szuflada zewnętrzna;PC polysk;1211 ;;;229;420
KSZ_037;Szuflada zewnętrzna;PC polysk;1298 ;;;329;420
KSZ_038;Szuflada zewnętrzna;PC polysk;1337 ;;;374;420
KSZ_039;Szuflada zewnętrzna;PC polysk;1376 ;;;420;420
KSZ_040;Szuflada zewnętrzna;PC polysk;1426 ;;;479;420
KSZ_041;Szuflada zewnętrzna;PC polysk;1466 ;;;523;420
KSZ_042;Szuflada zewnętrzna;PC polysk;1642 ;;;729;420
KSZ_001;Szuflada zewnętrzna;fornir dab mat;"1056;00 ";;;229;79
KSZ_002;Szuflada zewnętrzna;fornir dab mat;"1111;00 ";;;329;79
KSZ_003;Szuflada zewnętrzna;fornir dab mat;"1136;00 ";;;374;79
KSZ_004;Szuflada zewnętrzna;fornir dab mat;"1162;00 ";;;420;79
KSZ_005;Szuflada zewnętrzna;fornir dab mat;"1194;00 ";;;479;79
KSZ_006;Szuflada zewnętrzna;fornir dab mat;"1218;00 ";;;523;79
KSZ_007;Szuflada zewnętrzna;fornir dab mat;"1332;00 ";;;729;79
KSZ_008;Szuflada zewnętrzna;fornir dab mat;"1116;00 ";;;229;154
KSZ_009;Szuflada zewnętrzna;fornir dab mat;"1188;00 ";;;329;154
KSZ_010;Szuflada zewnętrzna;fornir dab mat;"1221;00 ";;;374;154
KSZ_011;Szuflada zewnętrzna;fornir dab mat;"1254;00 ";;;420;154
KSZ_012;Szuflada zewnętrzna;fornir dab mat;"1296;00 ";;;479;154
KSZ_013;Szuflada zewnętrzna;fornir dab mat;"1328;00 ";;;523;154
KSZ_014;Szuflada zewnętrzna;fornir dab mat;"1480;00 ";;;729;154
KSZ_015;Szuflada zewnętrzna;fornir dab mat;"1171;00 ";;;229;229
KSZ_016;Szuflada zewnętrzna;fornir dab mat;"1260;00 ";;;329;229
KSZ_017;Szuflada zewnętrzna;fornir dab mat;"1300;00 ";;;374;229
KSZ_018;Szuflada zewnętrzna;fornir dab mat;"1341;00 ";;;420;229
KSZ_019;Szuflada zewnętrzna;fornir dab mat;"1393;00 ";;;479;229
KSZ_020;Szuflada zewnętrzna;fornir dab mat;"1432;00 ";;;523;229
KSZ_021;Szuflada zewnętrzna;fornir dab mat;"1615;00 ";;;729;229
KSZ_022;Szuflada zewnętrzna;fornir dab mat;"1249;00 ";;;229;329
KSZ_023;Szuflada zewnętrzna;fornir dab mat;"1360;00 ";;;329;329
KSZ_024;Szuflada zewnętrzna;fornir dab mat;"1410;00 ";;;374;329
KSZ_025;Szuflada zewnętrzna;fornir dab mat;"1461;00 ";;;420;329
KSZ_026;Szuflada zewnętrzna;fornir dab mat;"1526;00 ";;;479;329
KSZ_027;Szuflada zewnętrzna;fornir dab mat;"1575;00 ";;;523;329
KSZ_028;Szuflada zewnętrzna;fornir dab mat;"1804;00 ";;;729;329
KSZ_029;Szuflada zewnętrzna;fornir dab mat;"1286;00 ";;;229;374
KSZ_030;Szuflada zewnętrzna;fornir dab mat;"1407;00 ";;;329;374
KSZ_031;Szuflada zewnętrzna;fornir dab mat;"1462;00 ";;;374;374
KSZ_032;Szuflada zewnętrzna;fornir dab mat;"1518;00 ";;;420;374
KSZ_033;Szuflada zewnętrzna;fornir dab mat;"1589;00 ";;;479;374
KSZ_034;Szuflada zewnętrzna;fornir dab mat;"1643;00 ";;;523;374
KSZ_035;Szuflada zewnętrzna;fornir dab mat;"1893;00 ";;;729;374
KSZ_036;Szuflada zewnętrzna;fornir dab mat;"1331;00 ";;;229;420
KSZ_037;Szuflada zewnętrzna;fornir dab mat;"1464;00 ";;;329;420
KSZ_038;Szuflada zewnętrzna;fornir dab mat;"1523;00 ";;;374;420
KSZ_039;Szuflada zewnętrzna;fornir dab mat;"1584;00 ";;;420;420
KSZ_040;Szuflada zewnętrzna;fornir dab mat;"1662;00 ";;;479;420
KSZ_041;Szuflada zewnętrzna;fornir dab mat;"1720;00 ";;;523;420
KSZ_042;Szuflada zewnętrzna;fornir dab mat;"1993;00 ";;;729;420
KSZ_001;Szuflada zewnętrzna;fornir orzech mat;1062 ;;;229;79
KSZ_002;Szuflada zewnętrzna;fornir orzech mat;1119 ;;;329;79
KSZ_003;Szuflada zewnętrzna;fornir orzech mat;1145 ;;;374;79
KSZ_004;Szuflada zewnętrzna;fornir orzech mat;1171 ;;;420;79
KSZ_005;Szuflada zewnętrzna;fornir orzech mat;1205 ;;;479;79
KSZ_006;Szuflada zewnętrzna;fornir orzech mat;1230 ;;;523;79
KSZ_007;Szuflada zewnętrzna;fornir orzech mat;1348 ;;;729;79
KSZ_008;Szuflada zewnętrzna;fornir orzech mat;1126 ;;;229;154
KSZ_009;Szuflada zewnętrzna;fornir orzech mat;1201 ;;;329;154
KSZ_010;Szuflada zewnętrzna;fornir orzech mat;1235 ;;;374;154
KSZ_011;Szuflada zewnętrzna;fornir orzech mat;1270 ;;;420;154
KSZ_012;Szuflada zewnętrzna;fornir orzech mat;1315 ;;;479;154
KSZ_013;Szuflada zewnętrzna;fornir orzech mat;1348 ;;;523;154
KSZ_014;Szuflada zewnętrzna;fornir orzech mat;1508 ;;;729;154
KSZ_015;Szuflada zewnętrzna;fornir orzech mat;1185 ;;;229;229
KSZ_016;Szuflada zewnętrzna;fornir orzech mat;1278 ;;;329;229
KSZ_017;Szuflada zewnętrzna;fornir orzech mat;1321 ;;;374;229
KSZ_018;Szuflada zewnętrzna;fornir orzech mat;1364 ;;;420;229
KSZ_019;Szuflada zewnętrzna;fornir orzech mat;1419 ;;;479;229
KSZ_020;Szuflada zewnętrzna;fornir orzech mat;1460 ;;;523;229
KSZ_021;Szuflada zewnętrzna;fornir orzech mat;1653 ;;;729;229
KSZ_022;Szuflada zewnętrzna;fornir orzech mat;1267 ;;;229;329
KSZ_023;Szuflada zewnętrzna;fornir orzech mat;1385 ;;;329;329
