nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSP_013_10x403x183;?õciana pionowa;fornir orzech mat;249;374;329;;
KSP_014_10x403x358;?õciana pionowa;fornir orzech mat;417;374;374;;
KSP_015_10x403x403;?õciana pionowa;fornir orzech mat;461;374;420;;
KSP_016_10x403x449;?õciana pionowa;fornir orzech mat;503;420;79;;
KSP_017_10x449x108;?õciana pionowa;fornir orzech mat;193;420;154;;
KSP_018_10x449x183;?õciana pionowa;fornir orzech mat;273;420;420;;
KSP_019_10x449x449;?õciana pionowa;fornir orzech mat;553;479;79;;
KSP_020_10x508x108;?õciana pionowa;fornir orzech mat;215;479;154;;
KSP_021_10x508x183;?õciana pionowa;fornir orzech mat;302;79;729;;
KSP_022_10x108x758;?õciana pionowa;fornir orzech mat;304;154;729;;
KSP_023_10x183x758;?õciana pionowa;fornir orzech mat;429;229;729;;
KSP_024_10x258x758;?õciana pionowa;fornir orzech mat;557;329;729;;
KSP_025_10x358x758;?õciana pionowa;fornir orzech mat;725;374;729;;
KSP_026_10x403x758;?õciana pionowa;fornir orzech mat;800;420;729;;
KSP_028_10x258x386;?õciana pionowa;fornir orzech mat;310;329;523;;
KSP_029_10x358x552;?õciana pionowa;fornir orzech mat;546;229;523;;
KSP_030_10x258x552;?õciana pionowa;fornir orzech mat;420;229;340;;
KSP_031_10x258x369;?õciana pionowa;fornir orzech mat;298;218;479;;
KSP_032_10x247x508;?õciana pionowa;fornir orzech mat;378;79;79;;
KSP_033_10x108x108;?õciana pionowa;fornir orzech mat;73;229;479;;
KSP_040_10x258x508;?õciana pionowa;fornir orzech mat;478;79;154;;
KSP_041_10x79x154;?õciana pionowa;fornir orzech mat;57;79;523;;
KSP_042_10x79x523;?õciana pionowa;fornir orzech mat;161;154;154;;
KSP_043_10x154x154;?õciana pionowa;fornir orzech mat;98;329;479;;
KSP_044_10x329x479;?õciana pionowa;fornir orzech mat;572;420;479;;
KSP_045_10x420x479;?õciana pionowa;fornir orzech mat;726;420;523;;
KSP_046_10x420x523;?õciana pionowa;fornir orzech mat;792;479;479;;
KSP_047_10x479x479;?õciana pionowa;fornir orzech mat;826;479;523;;
KSP_048_10x479x523;?õciana pionowa;fornir orzech mat;901;479;729;;
KSP_049_10x479x729;?õciana pionowa;fornir orzech mat;1250;523;523;;
KSP_050_10x523x523;?õciana pionowa;fornir orzech mat;982;523;729;;
KSP_051_10x523x729;?õciana pionowa;fornir orzech mat;1363;729;729;;
KSP_052_10x729x729;?õciana pionowa;fornir orzech mat;1895;229;79;;
KSP_001_10x258x108;?õciana pionowa;fornir orzech polysk;173;229;154;;
KSP_002_10x258x183;?õciana pionowa;fornir orzech polysk;256;229;229;;
KSP_003_10x258x258;?õciana pionowa;fornir orzech polysk;339;229;329;;
KSP_004_10x258x358;?õciana pionowa;fornir orzech polysk;450;229;374;;
KSP_005_10x258x403;?õciana pionowa;fornir orzech polysk;498;229;420;;
KSP_006_10x258x449;?õciana pionowa;fornir orzech polysk;549;329;79;;
KSP_007_10x358x108;?õciana pionowa;fornir orzech polysk;228;329;154;;
KSP_008_10x358x183;?õciana pionowa;fornir orzech polysk;339;329;329;;
KSP_009_10x358x358;?õciana pionowa;fornir orzech polysk;597;329;374;;
KSP_010_10x358x403;?õciana pionowa;fornir orzech polysk;664;329;420;;
KSP_011_10x358x449;?õciana pionowa;fornir orzech polysk;730;374;79;;
KSP_012_10x403x108;?õciana pionowa;fornir orzech polysk;252;374;154;;
KSP_013_10x403x183;?õciana pionowa;fornir orzech polysk;376;374;329;;
KSP_014_10x403x358;?õciana pionowa;fornir orzech polysk;664;374;374;;
KSP_015_10x403x403;?õciana pionowa;fornir orzech polysk;738;374;420;;
KSP_016_10x403x449;?õciana pionowa;fornir orzech polysk;813;420;79;;
KSP_017_10x449x108;?õciana pionowa;fornir orzech polysk;276;420;154;;
KSP_018_10x449x183;?õciana pionowa;fornir orzech polysk;413;420;420;;
KSP_019_10x449x449;?õciana pionowa;fornir orzech polysk;896;479;79;;
KSP_020_10x508x108;?õciana pionowa;fornir orzech polysk;308;479;154;;
KSP_021_10x508x183;?õciana pionowa;fornir orzech polysk;461;79;729;;
KSP_022_10x108x758;?õciana pionowa;fornir orzech polysk;442;154;729;;
KSP_023_10x183x758;?õciana pionowa;fornir orzech polysk;666;229;729;;
KSP_024_10x258x758;?õciana pionowa;fornir orzech polysk;889;329;729;;
KSP_025_10x358x758;?õciana pionowa;fornir orzech polysk;1186;374;729;;
KSP_026_10x403x758;?õciana pionowa;fornir orzech polysk;1321;420;729;;
KSP_028_10x258x386;?õciana pionowa;fornir orzech polysk;479;329;523;;
KSP_029_10x358x552;?õciana pionowa;fornir orzech polysk;883;229;523;;
KSP_032_10x247x508;?õciana pionowa;fornir orzech polysk;592;79;79;;
KSP_033_10x108x108;?õciana pionowa;fornir orzech polysk;94;229;479;;
KSP_040_10x258x508;?õciana pionowa;fornir orzech polysk;700;79;154;;
KSP_041_10x79x154;?õciana pionowa;fornir orzech polysk;78;79;523;;
KSP_042_10x79x523;?õciana pionowa;fornir orzech polysk;230;154;154;;
KSP_043_10x154x154;?õciana pionowa;fornir orzech polysk;138;329;479;;
KSP_044_10x329x479;?õciana pionowa;fornir orzech polysk;838;420;479;;
KSP_045_10x420x479;?õciana pionowa;fornir orzech polysk;1066;420;523;;
KSP_046_10x420x523;?õciana pionowa;fornir orzech polysk;1163;479;479;;
KSP_047_10x479x479;?õciana pionowa;fornir orzech polysk;1214;479;523;;
KSP_048_10x479x523;?õciana pionowa;fornir orzech polysk;1324;479;729;;
